cluster,source_entity,source_field,evidence_status,declared_type,declared_not_null,inline_primary_key,inline_unique,ddl_receipt,annotation_receipt,proposed_contract_field,proposed_type,handling,target_status
identity,admin,admin_auth_key,declared,string(32),True,False,False,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:20,identity.Admin.admin_auth_key,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_created_at,declared,datetime(),True,False,False,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:25,identity.Admin.admin_created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_email,declared,string(),True,False,True,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:19,identity.Admin.admin_email,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_id,declared,primaryKey(),False,True,False,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:17,identity.Admin.admin_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_limited_access,declared,smallInteger(),False,False,False,console/migrations/m200902_130750_admin_changes.php:15,common/models/Admin.php:24,identity.Admin.admin_limited_access,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_name,declared,string(),True,False,False,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:18,identity.Admin.admin_name,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_password_hash,declared,string(),True,False,False,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:21,identity.Admin.admin_password_hash,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_password_reset_token,declared,string(),False,False,True,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:22,identity.Admin.admin_password_reset_token,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_status,declared,smallInteger(),True,False,False,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:23,identity.Admin.admin_status,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,admin_updated_at,declared,datetime(),True,False,False,console/migrations/m130524_201442_init.php:19,common/models/Admin.php:26,identity.Admin.admin_updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin,enable_two_step_auth,declared,boolean(),False,False,False,console/migrations/m250130_115508_2step_auth.php:27,,identity.Admin.enable_two_step_auth,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,admin_id,declared,integer(),True,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:13,identity.AdminToken.admin_id,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,ip_address,declared,string(45),False,False,False,console/migrations/m250129_142636_token_expiry.php:25,common/models/AdminToken.php:20,identity.AdminToken.ip_address,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,otp,declared,char(5),False,False,False,console/migrations/m250130_115508_2step_auth.php:52,,identity.AdminToken.otp,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
