app,inventory_row,inventory_receipt,reported_area,reported_effect,evidence_status,test_data_plan
admin,ADMIN-FO-01,docs/parity/ui-journeys/admin.md:165,every list/view/footer,"Create/Edit/Delete buttons and footers hidden when `authService.admin_limited_access` is truthy (value copied from login response and Preferences, `auth.service.ts:85,220,248`) — 100+ `*ngIf=""!authService.admin_limited_access""` across admin, inspector, staff, company, candidate, transfer, reference-data, webhook, blocked-ip, currency, permission pages",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-02,docs/parity/ui-journeys/admin.md:166,`*-form` pages,Form pages redirect limited admins away on init (`if (this.authService.admin_limited_access) { navigate back }`),INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-03,docs/parity/ui-journeys/admin.md:167,"`transfer-view`, `suspicious-transfer-view`",Limited admin sees invoices/candidate lines only when `transfer_status` is 3 or 4; export excel gated the same way; transfer-file column hidden,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-04,docs/parity/ui-journeys/admin.md:168,"`transfer-view`, `suspicious-transfer-view`","All transfer state buttons (mark paid, delete, cancel, unlock, received-and-distributing, pay by wallet, revert to lock) hidden for limited admins",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-05,docs/parity/ui-journeys/admin.md:169,"`staff-view`, `staff-list`, `components/candidate`, `components/fulltimer`",Salary tab/field and suggestion accept/reject buttons gated on `authService.restrictedAccess()` which always returns `true`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-06,docs/parity/ui-journeys/admin.md:170,"`assign-permission/:type/:user_id`, `permission-section-list`","Admin assigns permission sub-sections to staff/admin; the admin app itself never reads `permissions` to gate anything (the staff list expands `permissions` `staff.service.ts:28` but no template consumes it: `grep -rn ""permissions"" src/app/pages --include=*.html` → 0 gating uses)",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-07,docs/parity/ui-journeys/admin.md:171,"`login`, `login-two-step`",Client decides whether to show the OTP page from `res.token_status == 0`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-08,docs/parity/ui-journeys/admin.md:172,route guard,"`AuthService.canActivate` only checks that a `loggedInAdmin` token exists in Preferences; no role/permission; 8 logged-in routes have **no guard at all** (`brand-form :339`, `company-contact-form :346`, `expense-view/-form/-list :425-433`, `import :442`, `staff-salary-form :471`, `import-salary-form :475`)",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-09,docs/parity/ui-journeys/admin.md:173,`admin-form`,"`email` regex + required, `password` required on create only (`CustomValidator.emailValidator` regex `custom.validator.ts:13`)",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-10,docs/parity/ui-journeys/admin.md:174,`staff-form`,"required: name, email(regex), password (create), job_title, salary, salary_currency, hours_per_day, week_start_day, work_days",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-11,docs/parity/ui-journeys/admin.md:175,`company-form`,"required: name, common_name_en/ar, bonus_commission, hourly_rate; on new account also password, website, email(regex); sub-company form omits email/password",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
